issn_l,earliest_year,pub_type,n,oa_articles
0001-5652,2021,all,17,3
0001-5652,2022,core,10,9
0001-5652,2022,all,10,9
0001-5652,2023,core,9,9
0001-5652,2023,all,9,9
0001-5792,2019,core,66,2
0001-5792,2019,all,89,2
0001-5792,2020,core,71,2
0001-5792,2020,all,91,2
0001-5792,2021,core,89,16
0001-5792,2021,all,107,19
0001-5792,2022,core,77,20
0001-5792,2022,all,80,20
0001-5792,2023,core,93,28
0001-5792,2023,all,98,28
0001-5903,2019,core,22,2
0001-5903,2019,all,22,2
0001-5903,2020,core,27,13
0001-5903,2020,all,31,13
0001-5903,2021,core,27,9
0001-5903,2021,all,30,11
0001-5903,2022,core,24,14
0001-5903,2022,all,27,15
0001-5903,2023,core,21,7
0001-5903,2023,all,22,8
0001-5954,2019,core,101,0
0001-5954,2019,all,101,0
0001-5954,2020,core,106,0
0001-5954,2020,all,107,0
0001-5954,2021,core,109,0
0001-5954,2021,all,110,0
0001-5954,2022,core,96,0
0001-5954,2022,all,98,0
0001-5954,2023,core,97,0
0001-5954,2023,all,97,0
0001-5970,2019,core,252,20
0001-5970,2019,all,257,20
0001-5970,2020,core,283,25
0001-5970,2020,all,289,25
0001-5970,2021,core,266,45
0001-5970,2021,all,274,45
0001-5970,2022,core,274,39
0001-5970,2022,all,279,40
0001-5970,2023,core,414,58
0001-5970,2023,all,422,58
0001-6268,2019,core,298,49
0001-6268,2019,all,359,49
0001-6268,2020,core,350,92
0001-6268,2020,all,423,103
0001-6268,2021,core,372,115
0001-6268,2021,all,436,125
0001-6268,2022,core,357,114
0001-6268,2022,all,396,118
0001-6268,2023,core,447,145
0001-6268,2023,all,501,156
0001-6314,2019,core,117,0
0001-6314,2019,all,132,0
0001-6314,2020,core,126,0
0001-6314,2020,all,150,0
0001-6314,2021,core,150,0
0001-6314,2021,all,173,0
0001-6314,2022,core,165,0
0001-6314,2022,all,190,0
0001-6314,2023,core,44,0
0001-6314,2023,all,45,0
0001-6322,2019,core,107,58
0001-6322,2019,all,146,63
0001-6322,2020,core,115,60
0001-6322,2020,all,152,73
0001-6322,2021,core,109,75
0001-6322,2021,all,146,91
0001-6322,2022,core,100,69
0001-6322,2022,all,129,84
0001-6322,2023,core,89,66
0001-6322,2023,all,130,93
0001-6349,2019,core,167,15
0001-6349,2019,all,240,17
0001-6349,2020,core,187,57
0001-6349,2020,all,242,70
0001-6349,2021,core,247,97
0001-6349,2021,all,299,105
0001-6349,2022,core,143,90
0001-6349,2022,all,174,102
0001-6349,2023,core,212,204
0001-6349,2023,all,248,238
0001-6357,2019,core,85,14
0001-6357,2019,all,92,14
0001-6357,2020,core,95,24
0001-6357,2020,all,95,24
0001-6357,2021,core,74,33
0001-6357,2021,all,74,33
0001-6357,2022,core,81,42
0001-6357,2022,all,81,42
0001-6357,2023,core,101,50
0001-6357,2023,all,104,51
0001-6373,2019,core,39,8
0001-6373,2019,all,40,8
0001-6373,2020,core,38,12
0001-6373,2020,all,39,12
0001-6373,2021,core,42,14
0001-6373,2021,all,42,14
0001-6373,2022,core,35,7
0001-6373,2022,all,35,7
0001-6373,2023,core,34,17
0001-6373,2023,all,36,18
0001-6446,2019,core,22,2
0001-6446,2019,all,23,2
0001-6446,2020,core,26,7
0001-6446,2020,all,27,7
0001-6446,2021,core,29,8
0001-6446,2021,all,29,8
0001-6446,2022,core,27,5
0001-6446,2022,all,27,5
0001-6446,2023,core,21,5
0001-6446,2023,all,21,5
0001-6489,2019,core,193,6
0001-6489,2019,all,194,6
0001-6489,2020,core,180,12
0001-6489,2020,all,185,13
0001-6489,2021,core,188,26
0001-6489,2021,all,190,27
0001-6489,2022,core,120,22
0001-6489,2022,all,122,22
0001-6489,2023,core,163,27
0001-6489,2023,all,167,27
0001-6519,2019,core,62,0
0001-6519,2019,all,63,0
0001-6519,2020,core,66,0
0001-6519,2020,all,73,0
0001-6519,2021,core,66,0
0001-6519,2021,all,71,0
0001-6519,2022,core,60,0
0001-6519,2022,all,67,0
0001-6519,2023,core,71,0
0001-6519,2023,all,74,0
0001-6810,2019,core,28,3
0001-6810,2019,all,30,3
0001-6810,2020,core,30,2
0001-6810,2020,all,31,3
0001-6810,2021,core,33,10
0001-6810,2021,all,36,10
0001-6810,2022,core,46,8
0001-6810,2022,all,49,9
0001-6810,2023,core,75,29
0001-6810,2023,all,80,29
0001-690X,2019,core,93,14
0001-690X,2019,all,125,15
0001-690X,2020,core,89,24
0001-690X,2020,all,121,24
0001-690X,2021,core,89,30
0001-690X,2021,all,113,31
0001-690X,2022,core,90,33
0001-690X,2022,all,114,34
0001-690X,2023,core,105,75
0001-690X,2023,all,127,76
0001-6969,2019,core,38,0
0001-6969,2019,all,38,0
0001-6969,2020,core,36,0
0001-6969,2020,all,36,0
0001-6969,2021,core,33,0
0001-6969,2021,all,34,0
0001-6969,2022,core,35,7
0001-6969,2022,all,38,7
0001-6969,2023,core,45,4
0001-6969,2023,all,46,4
0001-6993,2019,core,25,2
0001-6993,2019,all,26,2
0001-6993,2020,core,28,13
0001-6993,2020,all,28,13
0001-6993,2021,core,24,14
0001-6993,2021,all,24,14
0001-6993,2022,core,23,13
0001-6993,2022,all,23,13
0001-6993,2023,core,47,28
0001-6993,2023,all,50,28
0001-706X,2019,core,355,19
0001-706X,2019,all,362,19
0001-706X,2020,core,393,25
0001-706X,2020,all,399,25
0001-706X,2021,core,339,33
0001-706X,2021,all,343,33
0001-706X,2022,core,395,43
0001-706X,2022,all,400,43
0001-706X,2023,core,288,43
0001-706X,2023,all,297,43
0001-7701,2019,core,160,4
0001-7701,2019,all,167,4
0001-7701,2020,core,112,16
0001-7701,2020,all,118,17
0001-7701,2021,core,100,7
0001-7701,2021,all,108,9
0001-7701,2022,core,145,31
0001-7701,2022,all,159,35
0001-7701,2023,core,136,31
0001-7701,2023,all,137,31
0001-7868,2019,core,60,0
0001-7868,2019,all,124,0
0001-7868,2020,core,68,1
0001-7868,2020,all,138,1
0001-7868,2021,core,72,0
0001-7868,2021,all,150,0
0001-7868,2022,core,79,0
0001-7868,2022,all,157,0
0001-7868,2023,core,63,0
0001-7868,2023,all,123,0
0001-8244,2019,core,39,9
0001-8244,2019,all,49,10
0001-8244,2020,core,36,12
0001-8244,2020,all,45,12
0001-8244,2021,core,49,12
0001-8244,2021,all,61,12
0001-8244,2022,core,26,12
0001-8244,2022,all,31,14
0001-8244,2023,core,37,14
0001-8244,2023,all,42,14
0001-8392,2019,core,28,8
0001-8392,2019,all,29,8
0001-8392,2020,core,28,6
0001-8392,2020,all,33,6
0001-8392,2021,core,27,9
