issn_l,earliest_year,pub_type,n,oa_articles
0363-5023,2021,core,235,4
0363-5023,2021,all,270,4
0363-5023,2022,core,298,10
0363-5023,2022,all,335,10
0363-5023,2023,core,341,20
0363-5023,2023,all,378,20
0363-5465,2019,core,393,7
0363-5465,2019,all,461,8
0363-5465,2020,core,381,8
0363-5465,2020,all,444,8
0363-5465,2021,core,416,24
0363-5465,2021,all,484,24
0363-5465,2022,core,409,29
0363-5465,2022,all,463,29
0363-5465,2023,core,413,36
0363-5465,2023,all,474,37
0363-6119,2019,core,166,1
0363-6119,2019,all,179,1
0363-6119,2020,core,177,2
0363-6119,2020,all,193,2
0363-6119,2021,core,173,11
0363-6119,2021,all,188,11
0363-6119,2022,core,143,10
0363-6119,2022,all,153,10
0363-6119,2023,core,131,4
0363-6119,2023,all,135,4
0363-6135,2019,core,262,4
0363-6135,2019,all,294,4
0363-6135,2020,core,256,13
0363-6135,2020,all,280,13
0363-6135,2021,core,287,9
0363-6135,2021,all,323,9
0363-6135,2022,core,192,16
0363-6135,2022,all,213,16
0363-6135,2023,core,135,22
0363-6135,2023,all,167,22
0363-6143,2019,core,197,11
0363-6143,2019,all,206,11
0363-6143,2020,core,208,11
0363-6143,2020,all,231,11
0363-6143,2021,core,175,11
0363-6143,2021,all,199,11
0363-6143,2022,core,253,11
0363-6143,2022,all,260,11
0363-6143,2023,core,219,27
0363-6143,2023,all,228,27
0363-7751,2019,core,24,0
0363-7751,2019,all,24,0
0363-7751,2020,core,24,0
0363-7751,2020,all,25,0
0363-7751,2021,core,24,2
0363-7751,2021,all,28,2
0363-7751,2022,core,24,2
0363-7751,2022,all,24,2
0363-7751,2023,core,43,3
0363-7751,2023,all,43,3
0363-8111,2019,core,92,3
0363-8111,2019,all,93,3
0363-8111,2020,core,84,2
0363-8111,2020,all,84,2
0363-8111,2021,core,105,7
0363-8111,2021,all,106,7
0363-8111,2022,core,84,6
0363-8111,2022,all,84,6
0363-8111,2023,core,94,9
0363-8111,2023,all,95,9
0363-8715,2019,core,146,6
0363-8715,2019,all,149,6
0363-8715,2020,core,142,11
0363-8715,2020,all,148,11
0363-8715,2021,core,138,7
0363-8715,2021,all,143,7
0363-8715,2022,core,136,12
0363-8715,2022,all,140,12
0363-8715,2023,core,132,14
0363-8715,2023,all,134,15
0363-9045,2019,core,194,2
0363-9045,2019,all,200,2
0363-9045,2020,core,199,1
0363-9045,2020,all,203,1
0363-9045,2021,core,187,3
0363-9045,2021,all,189,3
0363-9045,2022,core,64,3
0363-9045,2022,all,66,3
0363-9045,2023,core,78,5
0363-9045,2023,all,82,5
0363-9061,2019,core,129,5
0363-9061,2019,all,131,5
0363-9061,2020,core,117,11
0363-9061,2020,all,121,11
0363-9061,2021,core,125,13
0363-9061,2021,all,125,13
0363-9061,2022,core,146,20
0363-9061,2022,all,147,20
0363-9061,2023,core,183,40
0363-9061,2023,all,183,40
0363-9568,2019,core,45,2
0363-9568,2019,all,54,2
0363-9568,2020,core,51,1
0363-9568,2020,all,59,1
0363-9568,2021,core,47,3
0363-9568,2021,all,53,3
0363-9568,2022,core,44,4
0363-9568,2022,all,51,4
0363-9568,2023,core,48,3
0363-9568,2023,all,54,3
0363-9762,2019,core,446,13
0363-9762,2019,all,455,13
0363-9762,2020,core,455,6
0363-9762,2020,all,504,7
0363-9762,2021,core,483,13
0363-9762,2021,all,493,13
0363-9762,2022,core,552,28
0363-9762,2022,all,602,28
0363-9762,2023,core,507,34
0363-9762,2023,all,537,36
0364-0213,2019,core,87,12
0364-0213,2019,all,94,12
0364-0213,2020,core,100,31
0364-0213,2020,all,104,31
0364-0213,2021,core,134,36
0364-0213,2021,all,138,36
0364-0213,2022,core,118,31
0364-0213,2022,all,136,31
0364-0213,2023,core,131,90
0364-0213,2023,all,163,94
0364-152X,2019,core,118,15
0364-152X,2019,all,124,15
0364-152X,2020,core,141,28
0364-152X,2020,all,144,28
0364-152X,2021,core,147,31
0364-152X,2021,all,156,32
0364-152X,2022,core,154,54
0364-152X,2022,all,158,57
0364-152X,2023,core,223,76
0364-152X,2023,all,232,78
0364-216X,2019,core,187,15
0364-216X,2019,all,259,16
0364-216X,2020,core,210,18
0364-216X,2020,all,386,30
0364-216X,2021,core,268,25
0364-216X,2021,all,507,31
0364-216X,2022,core,292,27
0364-216X,2022,all,593,32
0364-216X,2023,core,432,64
0364-216X,2023,all,783,77
0364-2313,2019,core,369,43
0364-2313,2019,all,409,43
0364-2313,2020,core,485,74
0364-2313,2020,all,597,76
0364-2313,2021,core,398,90
0364-2313,2021,all,521,99
0364-2313,2022,core,321,75
0364-2313,2022,all,439,86
0364-2313,2023,core,343,98
0364-2313,2023,all,485,115
0364-2348,2019,core,221,15
0364-2348,2019,all,243,15
0364-2348,2020,core,201,19
0364-2348,2020,all,237,20
0364-2348,2021,core,242,33
0364-2348,2021,all,283,34
0364-2348,2022,core,214,36
0364-2348,2022,all,270,38
0364-2348,2023,core,372,47
0364-2348,2023,all,439,48
0364-3190,2019,core,241,24
0364-3190,2019,all,252,24
0364-3190,2020,core,248,25
0364-3190,2020,all,258,25
0364-3190,2021,core,268,23
0364-3190,2021,all,275,24
0364-3190,2022,core,290,40
0364-3190,2022,all,305,45
0364-3190,2023,core,322,55
0364-3190,2023,all,338,58
0364-5134,2019,core,175,49
0364-5134,2019,all,210,52
0364-5134,2020,core,186,55
0364-5134,2020,all,265,58
0364-5134,2021,core,191,59
0364-5134,2021,all,284,68
0364-5134,2022,core,166,65
0364-5134,2022,all,221,66
0364-5134,2023,core,245,131
0364-5134,2023,all,295,132
0364-5916,2019,core,130,6
0364-5916,2019,all,134,6
0364-5916,2020,core,118,7
0364-5916,2020,all,121,7
0364-5916,2021,core,106,8
0364-5916,2021,all,108,8
0364-5916,2022,core,96,7
0364-5916,2022,all,98,7
0364-5916,2023,core,101,7
0364-5916,2023,all,104,7
0364-9024,2019,core,81,3
0364-9024,2019,all,82,3
0364-9024,2020,core,97,9
0364-9024,2020,all,97,9
0364-9024,2021,core,108,11
0364-9024,2021,all,109,11
0364-9024,2022,core,125,18
0364-9024,2022,all,125,18
0364-9024,2023,core,185,50
0364-9024,2023,all,186,50
0364-9059,2019,core,92,0
0364-9059,2019,all,100,0
0364-9059,2020,core,114,5
0364-9059,2020,all,121,5
0364-9059,2021,core,107,12
0364-9059,2021,all,107,12
0364-9059,2022,core,87,15
0364-9059,2022,all,90,15
0364-9059,2023,core,119,14
0364-9059,2023,all,120,15
0365-6233,2019,core,99,3
0365-6233,2019,all,99,3
0365-6233,2020,core,116,5
0365-6233,2020,all,117,5
0365-6233,2021,core,146,9
0365-6233,2021,all,146,9
0365-6233,2022,core,150,16
0365-6233,2022,all,155,16
0365-6233,2023,core,203,48
0365-6233,2023,all,204,48
0365-6691,2019,core,169,0
0365-6691,2019,all,183,0
0365-6691,2020,core,169,0
0365-6691,2020,all,183,0
0365-6691,2021,core,142,2
0365-6691,2021,all,165,2
0365-6691,2022,core,110,1
0365-6691,2022,all,130,1
0365-6691,2023,core,113,6
0365-6691,2023,all,133,6
0366-6352,2019,core,300,14
0366-6352,2019,all,301,14
0366-6352,2020,core,399,19
0366-6352,2020,all,408,19
0366-6352,2021,core,546,32
0366-6352,2021,all,554,34
0366-6352,2022,core,593,30
0366-6352,2022,all,603,30
0366-6352,2023,core,794,57
0366-6352,2023,all,805,57
0366-7022,2019,core,379,0
0366-7022,2019,all,379,0
0366-7022,2020,core,341,0
0366-7022,2020,all,341,0
0366-7022,2021,core,402,2
0366-7022,2021,all,404,2
0366-7022,2022,core,290,0
0366-7022,2022,all,291,0
0366-7022,2023,core,211,0
0366-7022,2023,all,211,0
0367-0244,2019,core,38,0
0367-0244,2019,all,43,0
0367-0244,2020,core,40,4
0367-0244,2020,all,46,4
0367-0244,2021,core,44,6
0367-0244,2021,all,50,6
0367-0244,2022,core,42,1
0367-0244,2022,all,45,1
0367-0244,2023,core,20,1
0367-0244,2023,all,22,1
0367-2530,2019,core,152,1
0367-2530,2019,all,152,1
0367-2530,2020,core,132,8
0367-2530,2020,all,133,8
0367-2530,2021,core,154,9
0367-2530,2021,all,154,9
0367-2530,2022,core,137,2
0367-2530,2022,all,137,2
0367-2530,2023,core,143,15
0367-2530,2023,all,144,15
0367-326X,2019,core,295,4
0367-326X,2019,all,298,4
0367-326X,2020,core,269,7
0367-326X,2020,all,272,7
0367-326X,2021,core,193,10
0367-326X,2021,all,197,10
0367-326X,2022,core,199,4
0367-326X,2022,all,202,4
0367-326X,2023,core,269,8
0367-326X,2023,all,271,8
0367-4223,2019,core,37,1
0367-4223,2019,all,39,1
0367-4223,2020,core,37,4
0367-4223,2020,all,38,4
0367-4223,2021,core,53,3
0367-4223,2021,all,56,4
0367-4223,2022,core,92,5
0367-4223,2022,all,95,7
0367-4223,2023,core,268,29
0367-4223,2023,all,274,30
0367-973X,2019,core,76,0
0367-973X,2019,all,82,0
0367-973X,2020,core,98,2
0367-973X,2020,all,103,2
0367-973X,2021,core,125,2
0367-973X,2021,all,132,2
0367-973X,2022,core,141,1
0367-973X,2022,all,147,1
0367-973X,2023,core,127,0
0367-973X,2023,all,133,0
0368-2048,2019,core,84,2
0368-2048,2019,all,85,2
0368-2048,2020,core,68,7
0368-2048,2020,all,70,7
0368-2048,2021,core,55,8
0368-2048,2021,all,55,8
0368-2048,2022,core,60,10
0368-2048,2022,all,62,10
0368-2048,2023,core,77,16
0368-2048,2023,all,79,16
0368-2811,2019,core,191,25
0368-2811,2019,all,214,26
0368-2811,2020,core,142,16
0368-2811,2020,all,165,20
0368-2811,2021,core,247,38
0368-2811,2021,all,302,43
0368-2811,2022,core,187,24
0368-2811,2022,all,202,25
0368-2811,2023,core,154,23
0368-2811,2023,all,175,26
0368-492X,2019,core,118,1
0368-492X,2019,all,121,1
0368-492X,2020,core,214,4
0368-492X,2020,all,217,4
0368-492X,2021,core,79,9
0368-492X,2021,all,82,9
0368-492X,2022,core,328,9
0368-492X,2022,all,328,9
0368-492X,2023,core,478,5
0368-492X,2023,all,481,5
0369-8203,2019,core,80,0
0369-8203,2019,all,80,0
0369-8203,2020,core,94,0
0369-8203,2020,all,94,0
0369-8203,2021,core,69,0
0369-8203,2021,all,69,0
0369-8203,2022,core,69,1
0369-8203,2022,all,70,1
0369-8203,2023,core,78,2
0369-8203,2023,all,79,2
0369-8211,2019,core,159,0
0369-8211,2019,all,159,0
0369-8211,2020,core,119,0
0369-8211,2020,all,119,0
0369-8211,2021,core,99,2
0369-8211,2021,all,99,2
0369-8211,2022,core,101,1
0369-8211,2022,all,101,1
0369-8211,2023,core,136,2
0369-8211,2023,all,137,2
0369-9420,2019,core,68,0
0369-9420,2019,all,68,0
0369-9420,2020,core,88,0
0369-9420,2020,all,88,0
0369-9420,2021,core,50,0
0369-9420,2021,all,50,0
0369-9420,2022,core,114,1
0369-9420,2022,all,114,1
0369-9420,2023,core,148,0
0369-9420,2023,all,149,0
0370-0046,2019,core,43,0
0370-0046,2019,all,45,0
0370-0046,2020,core,95,0
0370-0046,2020,all,97,0
0370-0046,2021,core,52,0
0370-0046,2021,all,55,0
0370-0046,2022,core,70,1
0370-0046,2022,all,75,1
0370-0046,2023,core,88,0
0370-0046,2023,all,88,0
0370-1573,2019,core,50,8
0370-1573,2019,all,51,8
0370-1573,2020,core,52,14
0370-1573,2020,all,54,14
0370-1573,2021,core,52,14
0370-1573,2021,all,52,14
0370-1573,2022,core,52,16
0370-1573,2022,all,52,16
0370-1573,2023,core,51,20
0370-1573,2023,all,51,20
0370-1972,2019,core,362,6
0370-1972,2019,all,373,6
0370-1972,2020,core,389,75
0370-1972,2020,all,402,75
0370-1972,2021,core,296,60
0370-1972,2021,all,305,60
0370-1972,2022,core,324,62
0370-1972,2022,all,334,62
0370-1972,2023,core,314,52
0370-1972,2023,all,318,52
0372-1426,2019,core,16,0
0372-1426,2019,all,17,0
0372-1426,2020,core,9,1
0372-1426,2020,all,9,1
0372-1426,2021,core,14,0
0372-1426,2021,all,14,0
0372-1426,2022,core,15,1
0372-1426,2022,all,15,1
0372-1426,2023,core,17,5
0372-1426,2023,all,17,5
0373-3114,2019,core,104,2
0373-3114,2019,all,107,2
0373-3114,2020,core,112,11
0373-3114,2020,all,112,11
0373-3114,2021,core,118,32
0373-3114,2021,all,118,32
0373-3114,2022,core,120,43
0373-3114,2022,all,122,43
0373-3114,2023,core,183,81
0373-3114,2023,all,184,81
0373-4633,2019,core,96,4
0373-4633,2019,all,98,4
0373-4633,2020,core,78,2
0373-4633,2020,all,80,2
0373-4633,2021,core,90,16
0373-4633,2021,all,92,17
0373-4633,2022,core,73,11
0373-4633,2022,all,74,11
0373-4633,2023,core,30,9
0373-4633,2023,all,31,9
0373-5893,2019,core,48,0
0373-5893,2019,all,48,0
0373-5893,2020,core,56,0
0373-5893,2020,all,58,0
0373-5893,2021,core,57,2
0373-5893,2021,all,58,2
0373-5893,2022,core,55,3
0373-5893,2022,all,55,3
0373-5893,2023,core,46,0
0373-5893,2023,all,47,0
0373-6245,2019,core,21,0
0373-6245,2019,all,22,0
0373-6245,2020,core,25,0
0373-6245,2020,all,26,0
0373-6245,2021,core,28,0
0373-6245,2021,all,29,0
0373-6245,2022,core,30,3
0373-6245,2022,all,30,3
0373-6245,2023,core,44,3
0373-6245,2023,all,44,3
0373-6687,2019,core,38,2
0373-6687,2019,all,38,2
0373-6687,2020,core,27,1
0373-6687,2020,all,35,1
0373-6687,2021,core,34,0
0373-6687,2021,all,40,0
0373-6687,2022,core,21,0
0373-6687,2022,all,30,0
0373-6687,2023,core,24,4
0373-6687,2023,all,30,4
0373-7934,2019,core,54,1
0373-7934,2019,all,87,1
0373-7934,2020,core,94,1
0373-7934,2020,all,141,1
0373-7934,2021,core,150,3
0373-7934,2021,all,187,3
0373-7934,2022,core,135,5
0373-7934,2022,all,155,5
0373-7934,2023,core,178,7
0373-7934,2023,all,254,8
0374-0463,2019,core,8,0
0374-0463,2019,all,9,0
0374-0463,2020,core,10,2
0374-0463,2020,all,11,2
0374-0463,2021,core,10,6
0374-0463,2021,all,12,6
0374-0463,2022,core,11,2
0374-0463,2022,all,11,2
0374-0463,2023,core,20,3
0374-0463,2023,all,22,3
0374-3535,2019,core,50,3
0374-3535,2019,all,53,3
0374-3535,2020,core,70,9
0374-3535,2020,all,70,9
0374-3535,2021,core,58,19
0374-3535,2021,all,65,20
0374-3535,2022,core,76,30
0374-3535,2022,all,82,31
0374-3535,2023,core,79,25
0374-3535,2023,all,86,25
0374-4884,2019,core,354,0
0374-4884,2019,all,359,0
0374-4884,2020,core,384,2
0374-4884,2020,all,396,2
0374-4884,2021,core,310,7
0374-4884,2021,all,324,7
0374-4884,2022,core,297,4
0374-4884,2022,all,306,4
0374-4884,2023,core,297,5
0374-4884,2023,all,309,5
0375-6505,2019,core,129,4
0375-6505,2019,all,131,4
0375-6505,2020,core,172,27
0375-6505,2020,all,177,27
0375-6505,2021,core,263,53
0375-6505,2021,all,263,53
0375-6505,2022,core,221,37
0375-6505,2022,all,229,37
0375-6505,2023,core,174,39
0375-6505,2023,all,178,39
0375-6742,2019,core,175,4
0375-6742,2019,all,176,4
0375-6742,2020,core,144,5
0375-6742,2020,all,146,5
0375-6742,2021,core,123,4
0375-6742,2021,all,123,4
0375-6742,2022,core,144,21
0375-6742,2022,all,146,21
0375-6742,2023,core,121,22
0375-6742,2023,all,123,22
0375-9474,2019,core,381,230
0375-9474,2019,all,391,238
0375-9474,2020,core,128,6
0375-9474,2020,all,131,6
0375-9474,2021,core,336,17
0375-9474,2021,all,344,17
0375-9474,2022,core,108,0
0375-9474,2022,all,109,0
0375-9474,2023,core,120,7
0375-9474,2023,all,123,7
0375-9601,2019,core,605,5
0375-9601,2019,all,643,6
0375-9601,2020,core,630,11
0375-9601,2020,all,657,11
0375-9601,2021,core,515,16
0375-9601,2021,all,539,16
0375-9601,2022,core,466,16
0375-9601,2022,all,495,16
0375-9601,2023,core,404,19
0375-9601,2023,all,422,19
0376-0421,2019,core,42,4
0376-0421,2019,all,42,4
0376-0421,2020,core,35,4
0376-0421,2020,all,35,4
0376-0421,2021,core,24,6
0376-0421,2021,all,24,6
0376-0421,2022,core,35,8
0376-0421,2022,all,36,8
0376-0421,2023,core,36,8
0376-0421,2023,all,38,8
0376-6357,2019,core,221,16
0376-6357,2019,all,227,17
0376-6357,2020,core,171,8
0376-6357,2020,all,171,8
0376-6357,2021,core,150,10
0376-6357,2021,all,153,10
0376-6357,2022,core,153,24
0376-6357,2022,all,154,24
0376-6357,2023,core,103,17
0376-6357,2023,all,105,17
0376-7388,2019,core,833,23
0376-7388,2019,all,838,23
0376-7388,2020,core,975,36
0376-7388,2020,all,985,36
0376-7388,2021,core,1013,68
0376-7388,2021,all,1022,68
0376-7388,2022,core,988,56
0376-7388,2022,all,1002,56
0376-7388,2023,core,843,79
0376-7388,2023,all,845,79
0376-835X,2019,core,53,3
0376-835X,2019,all,54,3
0376-835X,2020,core,60,4
0376-835X,2020,all,61,4
0376-835X,2021,core,62,5
0376-835X,2021,all,64,5
0376-835X,2022,core,60,8
0376-835X,2022,all,60,8
0376-835X,2023,core,95,7
0376-835X,2023,all,96,7
0376-8716,2019,core,490,33
0376-8716,2019,all,504,33
0376-8716,2020,core,523,52
0376-8716,2020,all,546,54
0376-8716,2021,core,665,63
0376-8716,2021,all,695,66
0376-8716,2022,core,418,73
0376-8716,2022,all,428,73
0376-8716,2023,core,331,71
0376-8716,2023,all,338,73
0376-8929,2019,core,45,4
0376-8929,2019,all,48,4
0376-8929,2020,core,40,7
0376-8929,2020,all,42,7
0376-8929,2021,core,37,10
0376-8929,2021,all,41,11
0376-8929,2022,core,31,14
0376-8929,2022,all,36,15
0376-8929,2023,core,30,16
0376-8929,2023,all,33,18
0376-9429,2019,core,69,10
0376-9429,2019,all,72,10
0376-9429,2020,core,87,6
0376-9429,2020,all,91,6
0376-9429,2021,core,82,17
0376-9429,2021,all,88,17
0376-9429,2022,core,77,18
0376-9429,2022,all,81,18
0376-9429,2023,core,91,15
0376-9429,2023,all,93,15
0376-9836,2019,core,16,0
0376-9836,2019,all,16,0
0376-9836,2020,core,18,0
0376-9836,2020,all,18,0
0376-9836,2021,core,17,0
0376-9836,2021,all,17,0
0376-9836,2022,core,26,0
0376-9836,2022,all,26,0
0376-9836,2023,core,16,0
0376-9836,2023,all,16,0
0377-0257,2019,core,121,10
0377-0257,2019,all,128,10
0377-0257,2020,core,113,14
0377-0257,2020,all,120,14
0377-0257,2021,core,101,5
0377-0257,2021,all,102,5
0377-0257,2022,core,105,25
0377-0257,2022,all,109,25
0377-0257,2023,core,113,25
0377-0257,2023,all,115,25
0377-0265,2019,core,36,2
0377-0265,2019,all,36,2
0377-0265,2020,core,25,3
0377-0265,2020,all,25,3
0377-0265,2021,core,55,7
0377-0265,2021,all,57,7
0377-0265,2022,core,38,5
0377-0265,2022,all,38,5
0377-0265,2023,core,43,7
0377-0265,2023,all,43,7
0377-0273,2019,core,232,41
0377-0273,2019,all,236,41
0377-0273,2020,core,281,31
0377-0273,2020,all,283,31
0377-0273,2021,core,173,33
0377-0273,2021,all,176,33
0377-0273,2022,core,189,51
0377-0273,2022,all,190,51
0377-0273,2023,core,158,51
0377-0273,2023,all,160,51
0377-0427,2019,core,548,20
0377-0427,2019,all,555,20
0377-0427,2020,core,592,27
0377-0427,2020,all,598,27
0377-0427,2021,core,506,25
0377-0427,2021,all,516,25
0377-0427,2022,core,507,43
0377-0427,2022,all,511,43
0377-0427,2023,core,503,76
0377-0427,2023,all,506,76
0377-0486,2019,core,197,10
0377-0486,2019,all,200,10
0377-0486,2020,core,239,19
0377-0486,2020,all,242,19
0377-0486,2021,core,220,35
0377-0486,2021,all,228,35
0377-0486,2022,core,192,24
0377-0486,2022,all,195,24
0377-0486,2023,core,165,54
0377-0486,2023,all,170,55
0377-2063,2019,core,81,0
0377-2063,2019,all,87,0
0377-2063,2020,core,109,0
0377-2063,2020,all,115,0
0377-2063,2021,core,175,0
0377-2063,2021,all,189,0
0377-2063,2022,core,658,0
0377-2063,2022,all,694,0
0377-2063,2023,core,877,1
0377-2063,2023,all,932,1
0377-2217,2019,core,658,34
0377-2217,2019,all,664,34
0377-2217,2020,core,635,38
0377-2217,2020,all,641,38
0377-2217,2021,core,642,71
0377-2217,2021,all,648,71
0377-2217,2022,core,660,128
0377-2217,2022,all,666,128
0377-2217,2023,core,853,261
0377-2217,2023,all,862,261
0377-7332,2019,core,168,13
0377-7332,2019,all,169,13
0377-7332,2020,core,233,22
0377-7332,2020,all,238,22
0377-7332,2021,core,237,39
0377-7332,2021,all,242,40
0377-7332,2022,core,211,51
0377-7332,2022,all,221,53
0377-7332,2023,core,286,108
0377-7332,2023,all,294,111
0377-8398,2019,core,45,2
0377-8398,2019,all,46,2
0377-8398,2020,core,73,2
0377-8398,2020,all,76,2
0377-8398,2021,core,55,2
0377-8398,2021,all,56,2
0377-8398,2022,core,68,11
0377-8398,2022,all,69,11
0377-8398,2023,core,57,8
0377-8398,2023,all,57,8
0377-8401,2019,core,196,19
0377-8401,2019,all,197,19
0377-8401,2020,core,287,22
0377-8401,2020,all,287,22
0377-8401,2021,core,326,37
0377-8401,2021,all,328,37
0377-8401,2022,core,259,48
0377-8401,2022,all,262,49
0377-8401,2023,core,206,40
0377-8401,2023,all,209,40
0377-9017,2019,core,103,14
0377-9017,2019,all,106,14
0377-9017,2020,core,126,26
0377-9017,2020,all,128,26
0377-9017,2021,core,148,55
0377-9017,2021,all,152,55
0377-9017,2022,core,127,47
0377-9017,2022,all,128,47
0377-9017,2023,core,121,48
0377-9017,2023,all,125,51
0377-919X,2019,core,28,0
0377-919X,2019,all,33,0
0377-919X,2020,core,23,0
0377-919X,2020,all,27,0
0377-919X,2021,core,33,3
0377-919X,2021,all,44,3
0377-919X,2022,core,24,3
0377-919X,2022,all,31,3
0377-919X,2023,core,24,5
0377-919X,2023,all,32,5
0378-1097,2019,core,272,31
0378-1097,2019,all,281,33
0378-1097,2020,core,184,17
0378-1097,2020,all,197,18
0378-1097,2021,core,206,18
0378-1097,2021,all,212,19
0378-1097,2022,core,110,17
0378-1097,2022,all,116,18
0378-1097,2023,core,129,28
0378-1097,2023,all,139,28
0378-1119,2019,core,799,13
0378-1119,2019,all,813,13
0378-1119,2020,core,634,2
0378-1119,2020,all,662,2
0378-1119,2021,core,540,23
0378-1119,2021,all,560,23
0378-1119,2022,core,662,75
0378-1119,2022,all,683,75
0378-1119,2023,core,632,67
0378-1119,2023,all,646,69
0378-1127,2019,core,727,34
0378-1127,2019,all,734,34
0378-1127,2020,core,679,65
0378-1127,2020,all,693,65
0378-1127,2021,core,944,158
0378-1127,2021,all,967,161
0378-1127,2022,core,629,119
0378-1127,2022,all,649,122
0378-1127,2023,core,700,208
0378-1127,2023,all,710,208
0378-1135,2019,core,334,24
0378-1135,2019,all,348,25
0378-1135,2020,core,316,17
0378-1135,2020,all,324,17
0378-1135,2021,core,260,27
0378-1135,2021,all,263,27
0378-1135,2022,core,222,22
0378-1135,2022,all,224,22
0378-1135,2023,core,212,39
0378-1135,2023,all,216,39
0378-1909,2019,core,110,6
0378-1909,2019,all,111,6
0378-1909,2020,core,114,9
0378-1909,2020,all,118,9
0378-1909,2021,core,120,11
0378-1909,2021,all,127,12
0378-1909,2022,core,142,27
0378-1909,2022,all,152,27
0378-1909,2023,core,144,30
0378-1909,2023,all,156,31
0378-2166,2019,core,180,7
0378-2166,2019,all,197,8
0378-2166,2020,core,156,19
0378-2166,2020,all,171,19
0378-2166,2021,core,253,55
0378-2166,2021,all,266,55
0378-2166,2022,core,154,46
0378-2166,2022,all,169,48
0378-2166,2023,core,148,70
0378-2166,2023,all,158,70
0378-2697,2019,core,76,10
0378-2697,2019,all,79,10
0378-2697,2020,core,91,7
0378-2697,2020,all,92,7
0378-2697,2021,core,65,8
0378-2697,2021,all,67,8
0378-2697,2022,core,42,5
0378-2697,2022,all,44,6
0378-2697,2023,core,41,9
0378-2697,2023,all,42,10
0378-3758,2019,core,83,2
0378-3758,2019,all,84,2
0378-3758,2020,core,111,4
0378-3758,2020,all,112,4
0378-3758,2021,core,101,2
0378-3758,2021,all,101,2
0378-3758,2022,core,90,8
0378-3758,2022,all,90,8
0378-3758,2023,core,60,3
0378-3758,2023,all,60,3
0378-3782,2019,core,167,4
0378-3782,2019,all,181,4
0378-3782,2020,core,211,19
0378-3782,2020,all,226,19
0378-3782,2021,core,145,25
0378-3782,2021,all,162,25
0378-3782,2022,core,95,22
0378-3782,2022,all,99,22
0378-3782,2023,core,115,33
0378-3782,2023,all,115,33
0378-3812,2019,core,338,2
0378-3812,2019,all,345,2
0378-3812,2020,core,331,14
0378-3812,2020,all,342,14
0378-3812,2021,core,206,16
0378-3812,2021,all,213,16
0378-3812,2022,core,209,27
0378-3812,2022,all,211,27
0378-3812,2023,core,234,41
0378-3812,2023,all,238,41
0378-3839,2019,core,114,13
0378-3839,2019,all,118,13
0378-3839,2020,core,118,18
0378-3839,2020,all,119,18
0378-3839,2021,core,164,34
0378-3839,2021,all,164,34
0378-3839,2022,core,108,28
0378-3839,2022,all,113,29
0378-3839,2023,core,128,56
0378-3839,2023,all,128,56
0378-4169,2019,core,10,0
0378-4169,2019,all,12,0
0378-4169,2020,core,15,0
0378-4169,2020,all,16,0
0378-4169,2021,core,7,0
0378-4169,2021,all,7,0
0378-4169,2022,core,15,0
0378-4169,2022,all,15,0
0378-4169,2023,core,16,0
0378-4169,2023,all,17,0
0378-4177,2019,core,25,0
0378-4177,2019,all,27,0
0378-4177,2020,core,25,0
0378-4177,2020,all,25,0
0378-4177,2021,core,30,1
0378-4177,2021,all,30,1
0378-4177,2022,core,25,0
0378-4177,2022,all,25,0
0378-4177,2023,core,28,4
0378-4177,2023,all,29,4
0378-4266,2019,core,194,7
0378-4266,2019,all,194,7
0378-4266,2020,core,218,9
0378-4266,2020,all,221,9
0378-4266,2021,core,183,11
0378-4266,2021,all,186,11
0378-4266,2022,core,237,27
0378-4266,2022,all,247,27
0378-4266,2023,core,227,56
0378-4266,2023,all,229,56
0378-4274,2019,core,228,13
0378-4274,2019,all,250,14
0378-4274,2020,core,287,18
0378-4274,2020,all,304,18
0378-4274,2021,core,218,21
0378-4274,2021,all,222,21
0378-4274,2022,core,128,19
0378-4274,2022,all,135,19
0378-4274,2023,core,164,42
0378-4274,2023,all,172,43
0378-4290,2019,core,221,24
0378-4290,2019,all,221,24
0378-4290,2020,core,192,27
0378-4290,2020,all,193,27
0378-4290,2021,core,245,44
0378-4290,2021,all,250,44
0378-4290,2022,core,288,43
0378-4290,2022,all,289,43
0378-4290,2023,core,332,68
0378-4290,2023,all,332,68
0378-4320,2019,core,212,9
0378-4320,2019,all,215,10
0378-4320,2020,core,211,10
0378-4320,2020,all,213,10
0378-4320,2021,core,139,15
0378-4320,2021,all,142,15
0378-4320,2022,core,148,20
0378-4320,2022,all,150,20
0378-4320,2023,core,103,19
0378-4320,2023,all,103,19
0378-4371,2019,core,1689,8
0378-4371,2019,all,1694,8
0378-4371,2020,core,1195,8
0378-4371,2020,all,1209,8
0378-4371,2021,core,842,29
0378-4371,2021,all,854,29
0378-4371,2022,core,997,60
0378-4371,2022,all,1009,61
0378-4371,2023,core,773,63
0378-4371,2023,all,795,64
0378-4754,2019,core,217,4
0378-4754,2019,all,221,4
0378-4754,2020,core,246,4
0378-4754,2020,all,250,4
0378-4754,2021,core,386,6
0378-4754,2021,all,393,6
0378-4754,2022,core,331,18
0378-4754,2022,all,332,18
0378-4754,2023,core,426,28
0378-4754,2023,all,430,28
0378-5122,2019,core,153,13
0378-5122,2019,all,169,13
0378-5122,2020,core,126,10
0378-5122,2020,all,146,10
0378-5122,2021,core,132,7
