issn_l,earliest_year,pubtype,ta_articles,ta_oa_articles,ta_first_author_articles,ta_oa_first_author_articles,ta_corresponding_author_articles,ta_oa_corresponding_author_articles,ta_first_corresponding_author_articles,ta_oa_first_corresponding_author_articles
1940-9052,2023,all,1,0,1,0,1,0,1,0
1941-0921,2023,core,25,17,22,15,25,17,20,13
1941-0921,2023,all,26,17,23,15,26,17,21,13
1941-1189,2023,core,9,3,9,3,9,3,4,1
1941-1189,2023,all,9,3,9,3,9,3,4,1
1941-1243,2023,core,19,17,19,17,19,17,12,11
1941-1243,2023,all,19,17,19,17,19,17,12,11
1941-3084,2023,core,3,1,3,1,3,1,1,1
1941-3084,2023,all,5,2,4,1,5,2,2,1
1941-3289,2023,core,6,2,5,2,5,2,0,0
1941-3289,2023,all,7,2,6,2,5,2,0,0
1941-5257,2023,core,48,28,48,28,46,28,41,26
1941-5257,2023,all,51,28,51,28,49,28,43,26
1941-6636,2023,core,32,12,28,11,32,12,22,8
1941-6636,2023,all,35,12,31,11,34,12,23,8
1941-7012,2023,core,1,0,0,0,1,0,0,0
1941-7012,2023,all,1,0,0,0,1,0,0,0
1941-7640,2023,core,5,2,5,2,5,2,2,1
1941-7640,2023,all,6,3,6,3,6,3,2,1
1941-7713,2023,core,5,1,4,1,3,1,2,1
1941-7713,2023,all,6,1,5,1,4,1,3,1
1941-8744,2023,core,9,5,6,5,8,5,3,3
1941-8744,2023,all,13,7,10,7,12,7,6,5
1941-9074,2023,core,6,5,5,4,6,5,1,0
1941-9074,2023,all,6,5,5,4,6,5,1,0
1941-9430,2023,core,1,0,1,0,1,0,1,0
1941-9430,2023,all,1,0,1,0,1,0,1,0
1941-9651,2023,core,15,10,14,9,12,9,2,1
1941-9651,2023,all,18,10,17,9,14,9,4,1
1941-9902,2023,core,22,8,21,8,21,8,15,7
1941-9902,2023,all,22,8,21,8,21,8,15,7
1942-0676,2023,core,18,10,17,9,18,10,13,7
1942-0676,2023,all,18,10,17,9,18,10,13,7
1942-2539,2023,core,10,8,9,7,9,7,8,6
1942-2539,2023,all,14,8,13,7,13,7,12,6
1942-3454,2023,core,8,1,8,1,4,0,3,0
1942-3454,2023,all,8,1,8,1,4,0,3,0
1942-4280,2023,core,9,5,8,5,9,5,6,3
1942-4280,2023,all,10,5,9,5,10,5,7,3
1942-4795,2023,core,22,13,21,12,18,11,13,7
1942-4795,2023,all,22,13,21,12,18,11,13,7
1942-602X,2023,core,1,0,1,0,0,0,0,0
1942-602X,2023,all,1,0,1,0,0,0,0,0
1942-7603,2023,core,109,83,105,81,107,82,49,37
1942-7603,2023,all,118,84,114,82,115,83,52,38
1942-7751,2023,core,4,4,4,4,4,4,4,4
1942-7751,2023,all,4,4,4,4,4,4,4,4
1942-7786,2023,core,23,12,23,12,23,12,21,10
1942-7786,2023,all,24,12,24,12,24,12,22,10
1942-7867,2023,core,17,9,15,8,17,9,12,6
1942-7867,2023,all,17,9,15,8,17,9,12,6
1942-9533,2023,core,18,0,17,0,18,0,9,0
1942-9533,2023,all,18,0,17,0,18,0,9,0
1942-969X,2023,core,8,5,8,5,8,5,8,5
1942-969X,2023,all,8,5,8,5,8,5,8,5
1943-0582,2023,core,3,0,3,0,1,0,1,0
1943-0582,2023,all,3,0,3,0,1,0,1,0
1943-0620,2023,core,18,0,18,0,17,0,14,0
1943-0620,2023,all,18,0,18,0,17,0,14,0
1943-0663,2023,core,14,3,14,3,10,3,8,3
1943-0663,2023,all,14,3,14,3,10,3,8,3
1943-0779,2023,core,12,8,12,8,11,8,11,8
1943-0779,2023,all,14,9,14,9,12,9,12,9
1943-1562,2023,core,1,1,1,1,1,1,1,1
1943-1562,2023,all,1,1,1,1,1,1,1,1
1943-3921,2023,core,120,100,115,98,118,100,99,88
1943-3921,2023,all,121,100,116,98,119,100,100,88
1943-4472,2023,core,21,9,20,8,19,9,15,7
1943-4472,2023,all,21,9,20,8,19,9,15,7
1943-4588,2023,core,2,1,2,1,2,1,0,0
1943-4588,2023,all,2,1,2,1,2,1,0,0
1943-6149,2023,core,12,9,12,9,12,9,11,8
1943-6149,2023,all,12,9,12,9,12,9,11,8
1943-8184,2023,core,7,6,7,6,7,6,7,6
1943-8184,2023,all,7,6,7,6,7,6,7,6
1943-8206,2023,core,1,0,1,0,1,0,1,0
1943-8206,2023,all,1,0,1,0,1,0,1,0
1943-9407,2023,core,4,2,3,1,4,2,3,1
1943-9407,2023,all,4,2,3,1,4,2,3,1
1943-9970,2023,core,3,1,2,1,3,1,1,1
1943-9970,2023,all,3,1,2,1,3,1,1,1
1944-0057,2023,core,7,4,6,3,7,4,3,2
1944-0057,2023,all,7,4,6,3,7,4,3,2
1944-2858,2023,core,3,2,3,2,3,2,3,2
1944-2858,2023,all,3,2,3,2,3,2,3,2
1944-2866,2023,core,30,27,28,25,30,27,25,22
1944-2866,2023,all,35,28,33,26,34,28,28,23
1944-2890,2023,core,1,1,1,1,1,1,0,0
1944-2890,2023,all,1,1,1,1,1,1,0,0
1944-3927,2023,core,18,14,18,14,14,11,13,11
1944-3927,2023,all,23,16,23,16,17,12,16,12
1944-3986,2023,core,3,0,3,0,3,0,1,0
1944-3986,2023,all,3,0,3,0,3,0,1,0
1944-4079,2023,core,10,8,10,8,10,8,10,8
1944-4079,2023,all,12,8,12,8,12,8,12,8
1944-7442,2023,core,50,8,41,5,49,8,27,3
1944-7442,2023,all,50,8,41,5,49,8,27,3
1944-8201,2023,core,36,23,33,21,35,22,22,13
1944-8201,2023,all,40,25,37,23,39,24,25,14
1944-8244,2023,core,657,427,545,400,634,422,140,111
1944-8244,2023,all,660,430,548,403,637,425,141,112
1944-8953,2023,core,14,7,11,6,13,7,10,6
1944-8953,2023,all,14,7,11,6,13,7,10,6
1944-9208,2023,core,7,6,7,6,6,5,5,4
1944-9208,2023,all,8,6,8,6,7,5,6,4
1945-2829,2023,core,12,11,10,10,12,11,10,10
1945-2829,2023,all,12,11,10,10,12,11,10,10
1945-5224,2023,core,3,2,3,2,3,2,3,2
1945-5224,2023,all,3,2,3,2,3,2,3,2
1945-8932,2023,core,16,6,16,6,13,6,8,3
1945-8932,2023,all,17,6,17,6,14,6,9,3
1946-0171,2023,core,31,21,29,20,30,20,27,18
1946-0171,2023,all,32,21,30,20,30,20,27,18
1946-3022,2023,core,11,8,11,8,11,8,11,8
1946-3022,2023,all,11,8,11,8,11,8,11,8
1946-6226,2023,core,4,0,4,0,0,0,0,0
1946-6226,2023,all,4,0,4,0,0,0,0,0
1946-6315,2023,core,10,6,8,6,10,6,8,6
1946-6315,2023,all,12,7,10,7,12,7,9,6
1946-9837,2023,core,6,4,6,4,6,4,6,4
1946-9837,2023,all,6,4,6,4,6,4,6,4
1947-2498,2023,core,2,0,2,0,2,0,2,0
1947-2498,2023,all,2,0,2,0,2,0,2,0
1947-5020,2023,core,9,7,9,7,9,7,9,7
1947-5020,2023,all,9,7,9,7,9,7,9,7
1947-6035,2023,core,28,27,25,24,27,26,8,8
1947-6035,2023,all,29,28,26,25,27,26,8,8
1947-7503,2023,core,3,2,3,2,3,2,2,1
1947-7503,2023,all,3,2,3,2,3,2,2,1
1947-9832,2023,core,1,1,1,1,1,1,1,1
1947-9832,2023,all,1,1,1,1,1,1,1,1
1948-0881,2023,core,1,0,1,0,0,0,0,0
1948-0881,2023,all,2,0,2,0,1,0,1,0
1948-4682,2023,core,12,9,12,9,10,8,9,7
1948-4682,2023,all,16,11,16,11,14,10,13,9
1948-5506,2023,core,70,51,68,49,70,51,63,44
1948-5506,2023,all,70,51,68,49,70,51,63,44
1948-5565,2023,core,2,1,2,1,2,1,2,1
1948-5565,2023,all,2,1,2,1,2,1,2,1
1948-5875,2023,core,46,30,39,27,46,30,6,5
1948-5875,2023,all,48,30,40,27,48,30,7,5
1948-7185,2023,core,305,200,255,181,295,200,87,67
1948-7185,2023,all,306,200,256,181,296,200,88,67
1948-7193,2023,core,73,55,67,50,70,55,21,14
1948-7193,2023,all,74,56,68,51,71,56,21,14
1948-8270,2023,core,1,0,1,0,1,0,1,0
1948-8270,2023,all,2,0,2,0,2,0,2,0
1948-8327,2023,core,2,2,2,2,2,2,2,2
1948-8327,2023,all,2,2,2,2,2,2,2,2
1949-1255,2023,core,32,18,32,18,32,18,29,17
1949-1255,2023,all,36,20,35,20,36,20,32,19
1949-2723,2023,core,2,0,2,0,1,0,1,0
1949-2723,2023,all,2,0,2,0,1,0,1,0
1949-3029,2023,core,36,3,31,2,28,3,8,2
1949-3029,2023,all,36,3,31,2,28,3,8,2
1949-3045,2023,core,43,9,38,9,34,8,18,5
1949-3045,2023,all,43,9,38,9,34,8,18,5
1949-3053,2023,core,94,6,84,4,82,6,11,1
1949-3053,2023,all,94,6,84,4,82,6,11,1
1949-3088,2023,core,4,2,4,2,3,1,2,0
1949-3088,2023,all,4,2,4,2,3,1,2,0
1949-3592,2023,core,26,14,25,13,24,14,8,4
1949-3592,2023,all,31,15,30,14,28,15,11,5
1949-6605,2023,core,2,2,2,2,2,2,1,1
1949-6605,2023,all,2,2,2,2,2,2,1,1
1951-6355,2023,core,75,51,69,49,70,50,50,38
1951-6355,2023,all,84,57,76,54,79,56,57,43
1955-2505,2023,core,50,28,45,26,45,28,27,17
1955-2505,2023,all,51,28,46,26,46,28,28,17
1957-2557,2023,core,2,0,2,0,2,0,1,0
1957-2557,2023,all,14,1,14,1,12,1,9,1
1960-6214,2023,core,26,21,23,21,26,21,17,16
1960-6214,2023,all,28,22,25,22,28,22,18,17
1964-8189,2023,core,12,2,11,2,11,2,8,2
1964-8189,2023,all,12,2,11,2,11,2,8,2
1971-4009,2023,core,27,13,27,13,25,13,10,7
1971-4009,2023,all,27,13,27,13,25,13,10,7
1972-6724,2023,core,42,27,39,25,38,27,28,21
1972-6724,2023,all,45,28,42,26,41,28,31,22
1975-0102,2023,core,13,8,9,6,13,8,5,4
1975-0102,2023,all,14,8,10,6,13,8,5,4
1975-9479,2023,core,1,0,1,0,1,0,0,0
1975-9479,2023,all,1,0,1,0,1,0,0,0
1976-0280,2023,core,1,0,0,0,1,0,0,0
1976-0280,2023,all,1,0,0,0,1,0,0,0
1976-1597,2023,core,1,0,1,0,1,0,1,0
1976-1597,2023,all,1,0,1,0,1,0,1,0
1976-4251,2023,core,18,6,12,5,18,6,9,4
1976-4251,2023,all,19,6,12,5,19,6,9,4
1976-7633,2023,core,4,3,3,2,4,3,2,2
1976-7633,2023,all,4,3,3,2,4,3,2,2
1976-8257,2023,core,6,4,6,4,5,4,3,2
1976-8257,2023,all,6,4,6,4,5,4,3,2
1976-9571,2023,core,3,2,2,2,3,2,1,1
1976-9571,2023,all,3,2,2,2,3,2,1,1
1982-5676,2023,core,4,2,4,2,4,2,2,1
1982-5676,2023,all,4,2,4,2,4,2,2,1
1982-6907,2023,core,18,9,18,9,16,9,11,8
1982-6907,2023,all,18,9,18,9,16,9,11,8
1989-9386,2023,core,1,1,1,1,1,1,1,1
1989-9386,2023,all,1,1,1,1,1,1,1,1
1990-4789,2023,core,1,0,0,0,1,0,0,0
1990-4789,2023,all,1,0,0,0,1,0,0,0
1993-0437,2023,core,5,0,3,0,5,0,0,0
1993-0437,2023,all,5,0,3,0,5,0,0,0
1993-5013,2023,core,2,0,0,0,2,0,0,0
1993-5013,2023,all,2,0,0,0,2,0,0,0
1995-4255,2023,core,1,0,0,0,1,0,0,0
1995-4255,2023,all,1,0,0,0,1,0,0,0
1995-5855,2023,core,6,3,6,3,6,3,6,3
1995-5855,2023,all,7,3,7,3,6,3,6,3
1995-8188,2023,core,1,0,1,0,1,0,0,0
1995-8188,2023,all,1,0,1,0,1,0,0,0
1995-8196,2023,core,6,3,3,1,6,3,1,0
1995-8196,2023,all,6,3,3,1,6,3,1,0
1995-8218,2023,core,15,5,10,4,14,4,4,1
1995-8218,2023,all,16,5,10,4,15,4,4,1
1996-3599,2023,core,40,22,32,20,37,22,14,12
1996-3599,2023,all,40,22,32,20,37,22,14,12
1998-0000,2023,core,236,39,138,28,230,39,20,12
1998-0000,2023,all,246,40,142,28,239,40,20,12
1998-3832,2023,core,9,3,6,1,8,3,2,0
1998-3832,2023,all,10,3,7,1,9,3,2,0
1998-7773,2023,core,15,14,15,14,15,14,13,12
1998-7773,2023,all,18,16,18,16,18,16,16,14
2000-6764,2023,core,12,4,12,4,12,4,9,3
2000-6764,2023,all,12,4,12,4,12,4,9,3
2005-615X,2023,core,2,0,2,0,2,0,2,0
2005-615X,2023,all,2,0,2,0,2,0,2,0
2005-9752,2023,core,1,0,0,0,1,0,0,0
2005-9752,2023,all,1,0,0,0,1,0,0,0
2008-1359,2023,core,2,0,1,0,2,0,1,0
2008-1359,2023,all,2,0,1,0,2,0,1,0
2008-9163,2023,core,14,9,14,9,13,9,12,9
2008-9163,2023,all,14,9,14,9,13,9,12,9
2008-9244,2023,core,9,7,7,5,9,7,2,2
2008-9244,2023,all,9,7,7,5,9,7,2,2
2008-9295,2023,core,1,0,1,0,0,0,0,0
2008-9295,2023,all,1,0,1,0,0,0,0,0
2009-3829,2023,core,6,1,6,1,6,1,5,0
2009-3829,2023,all,6,1,6,1,6,1,5,0
2031-9525,2023,core,8,6,8,6,8,6,7,5
2031-9525,2023,all,20,10,20,10,19,10,18,9
2032-2844,2023,core,13,8,13,8,11,8,11,8
2032-2844,2023,all,15,9,15,9,13,9,12,9
2035-5106,2023,core,21,11,19,10,19,11,7,3
2035-5106,2023,all,24,12,22,11,22,12,9,3
2037-4631,2023,core,5,4,4,3,4,4,3,3
2037-4631,2023,all,5,4,4,3,4,4,3,3
2038-131X,2023,core,102,61,94,56,97,60,54,32
2038-131X,2023,all,112,61,103,56,107,60,62,32
2040-0705,2023,core,12,6,12,6,12,6,11,5
2040-0705,2023,all,12,6,12,6,12,6,11,5
2040-1744,2023,core,30,24,29,23,28,22,12,9
2040-1744,2023,all,30,24,29,23,28,22,12,9
2040-2317,2023,core,2,2,2,2,2,2,1,1
2040-2317,2023,all,2,2,2,2,2,2,1,1
2040-3313,2023,core,14,9,14,9,14,9,13,9
2040-3313,2023,all,17,12,17,12,17,12,16,12
2040-3364,2023,core,271,204,221,178,260,201,58,47
2040-3364,2023,all,276,207,223,179,265,204,59,47
2040-350X,2023,core,14,8,14,8,14,8,14,8
2040-350X,2023,all,14,8,14,8,14,8,14,8
2040-3585,2023,core,14,10,12,8,11,7,9,5
2040-3585,2023,all,14,10,12,8,11,7,9,5
2040-4166,2023,core,13,9,13,9,13,9,12,8
2040-4166,2023,all,13,9,13,9,13,9,12,8
2040-5790,2023,core,59,36,54,34,53,36,35,25
2040-5790,2023,all,59,36,54,34,53,36,35,25
2040-5960,2023,core,8,6,8,6,8,6,8,6
2040-5960,2023,all,9,6,9,6,9,6,9,6
2040-610X,2023,core,6,3,6,3,6,3,6,3
2040-610X,2023,all,8,3,8,3,8,3,8,3
2040-7122,2023,core,3,0,3,0,3,0,2,0
2040-7122,2023,all,3,0,3,0,3,0,2,0
2040-7149,2023,core,3,3,2,2,3,3,2,2
2040-7149,2023,all,3,3,2,2,3,3,2,2
2040-7211,2023,core,7,3,7,3,7,3,6,2
2040-7211,2023,all,8,3,8,3,8,3,6,2
2040-7939,2023,core,61,43,57,41,58,43,28,21
2040-7939,2023,all,62,43,58,41,59,43,29,21
2040-8021,2023,core,18,11,17,10,18,11,14,8
2040-8021,2023,all,18,11,17,10,18,11,14,8
2040-8056,2023,core,1,0,1,0,0,0,0,0
2040-8056,2023,all,1,0,1,0,0,0,0,0
2040-8269,2023,core,18,12,16,11,18,12,12,9
2040-8269,2023,all,18,12,16,11,18,12,12,9
2040-8978,2023,core,26,17,24,17,26,17,20,14
2040-8978,2023,all,27,17,25,17,27,17,21,14
2041-1006,2023,core,13,10,11,9,12,10,0,0
2041-1006,2023,all,13,10,11,9,12,10,0,0
2041-1286,2023,core,17,12,15,10,17,12,9,5
2041-1286,2023,all,17,12,15,10,17,12,9,5
2041-2568,2023,core,4,0,4,0,4,0,4,0
2041-2568,2023,all,4,0,4,0,4,0,4,0
2041-2649,2023,core,3,3,3,3,3,3,1,1
2041-2649,2023,all,4,3,4,3,4,3,2,1
2041-3866,2023,core,8,6,7,5,8,6,6,4
2041-3866,2023,all,9,6,7,5,9,6,6,4
2041-4005,2023,core,10,8,9,8,10,8,9,8
2041-4005,2023,all,11,8,10,8,11,8,10,8
2041-4137,2023,core,48,15,45,15,44,13,30,11
2041-4137,2023,all,60,16,56,16,55,14,38,11
2041-4161,2023,core,7,0,6,0,5,0,3,0
2041-4161,2023,all,7,0,6,0,5,0,3,0
2041-4196,2023,core,14,11,11,9,13,10,10,8
2041-4196,2023,all,14,11,11,9,13,10,10,8
2041-6156,2023,core,1,0,1,0,1,0,0,0
2041-6156,2023,all,1,0,1,0,1,0,0,0
2041-7365,2023,core,12,6,11,5,12,6,11,5
2041-7365,2023,all,12,6,11,5,12,6,11,5
2041-7764,2023,core,10,6,10,6,10,6,10,6
2041-7764,2023,all,11,6,11,6,11,6,11,6
2041-8396,2023,core,21,16,19,14,21,16,13,10
2041-8396,2023,all,21,16,19,14,21,16,13,10
2042-1168,2023,core,8,6,8,6,8,6,6,4
2042-1168,2023,all,8,6,8,6,8,6,6,4
2042-1338,2023,core,3,2,3,2,3,2,3,2
2042-1338,2023,all,3,2,3,2,3,2,3,2
2042-3896,2023,core,15,10,15,10,15,10,12,8
2042-3896,2023,all,15,10,15,10,15,10,12,8
2042-5791,2023,core,29,23,28,22,27,23,16,13
2042-5791,2023,all,29,23,28,22,27,23,16,13
2042-5856,2023,core,5,2,5,2,4,2,4,2
2042-5856,2023,all,5,2,5,2,4,2,4,2
2042-6445,2023,core,3,2,3,2,2,2,2,2
2042-6445,2023,all,3,2,3,2,2,2,2,2
2042-6496,2023,core,71,51,62,44,70,51,20,15
2042-6496,2023,all,71,51,62,44,70,51,20,15
2042-6747,2023,core,8,8,7,7,6,6,4,4
2042-6747,2023,all,8,8,7,7,6,6,4,4
2042-6763,2023,core,3,1,2,1,3,1,2,1
2042-6763,2023,all,3,1,2,1,3,1,2,1
2042-678X,2023,core,3,0,3,0,3,0,2,0
2042-678X,2023,all,3,0,3,0,3,0,2,0
2042-6976,2023,core,54,21,43,17,50,20,17,6
2042-6976,2023,all,79,25,65,21,75,24,30,7
2042-7530,2023,core,10,3,9,3,9,3,6,2
2042-7530,2023,all,10,3,9,3,9,3,6,2
2042-8308,2023,core,9,2,8,2,9,2,6,1
2042-8308,2023,all,9,2,8,2,9,2,6,1
2042-8898,2023,core,22,16,20,15,21,15,14,10
2042-8898,2023,all,24,17,22,16,23,16,16,11
2043-0795,2023,core,9,3,9,3,7,3,5,2
2043-0795,2023,all,9,3,9,3,7,3,5,2
2043-6106,2023,core,15,14,15,14,14,13,12,12
2043-6106,2023,all,18,14,18,14,17,13,14,12
2043-6238,2023,core,25,21,22,18,24,20,14,10
2043-6238,2023,all,25,21,22,18,24,20,14,10
2043-6262,2023,core,1,0,1,0,1,0,0,0
2043-6262,2023,all,1,0,1,0,1,0,0,0
2043-7897,2023,core,2,1,2,1,2,1,2,1
2043-7897,2023,all,5,1,5,1,4,1,4,1
2043-8206,2023,core,25,14,25,14,24,14,23,13
2043-8206,2023,all,99,48,98,47,98,48,95,45
2043-8869,2023,core,18,12,16,12,18,12,15,12
2043-8869,2023,all,19,13,17,13,19,13,15,12
2044-0243,2023,core,6,5,6,5,6,5,6,5
2044-0243,2023,all,7,5,7,5,7,5,7,5
2044-0839,2023,core,1,1,1,1,1,1,1,1
2044-0839,2023,all,1,1,1,1,1,1,1,1
2044-124X,2023,core,5,1,5,1,3,1,2,1
2044-124X,2023,all,5,1,5,1,3,1,2,1
2044-1266,2023,core,14,9,14,9,14,9,11,8
2044-1266,2023,all,14,9,14,9,14,9,11,8
2044-1398,2023,core,4,2,3,2,4,2,2,1
2044-1398,2023,all,4,2,3,2,4,2,2,1
2044-2041,2023,core,10,7,10,7,10,7,10,7
2044-2041,2023,all,10,7,10,7,10,7,10,7
2044-2513,2023,core,16,11,15,11,16,11,15,11
2044-2513,2023,all,16,11,15,11,16,11,15,11
2044-3994,2023,core,6,6,6,6,5,5,5,5
2044-3994,2023,all,7,7,7,7,5,5,5,5
2044-4753,2023,core,103,77,85,68,99,77,15,12
2044-4753,2023,all,105,77,87,68,100,77,16,12
2044-5415,2023,core,22,18,22,18,21,17,15,13
2044-5415,2023,all,38,19,38,19,35,18,28,14
2044-5911,2023,core,17,10,16,10,17,10,14,8
2044-5911,2023,all,17,10,16,10,17,10,14,8
2045-2543,2023,core,1,0,1,0,1,0,1,0
2045-2543,2023,all,1,0,1,0,1,0,1,0
2045-3817,2023,core,21,21,21,21,18,18,17,17
2045-3817,2023,all,22,22,22,22,19,19,18,18
2045-435X,2023,core,34,13,29,12,34,13,18,7
2045-435X,2023,all,36,15,31,14,36,15,20,9
2045-452X,2023,core,3,2,3,2,3,2,2,1
2045-452X,2023,all,3,2,3,2,3,2,2,1
2045-9920,2023,core,2,2,2,2,2,2,1,1
2045-9920,2023,all,4,4,4,4,4,4,2,2
2046-0252,2023,core,37,25,25,17,34,22,9,7
2046-0252,2023,all,38,25,26,17,35,22,10,7
2046-147X,2023,core,10,8,10,8,10,8,8,6
2046-147X,2023,all,11,8,11,8,10,8,8,6
2046-4177,2023,core,11,7,10,6,10,7,5,5
2046-4177,2023,all,12,7,11,6,11,7,6,5
2046-6099,2023,core,12,10,11,9,12,10,7,5
2046-6099,2023,all,12,10,11,9,12,10,7,5
2046-6749,2023,core,8,5,8,5,8,5,6,4
2046-6749,2023,all,8,5,8,5,8,5,6,4
2046-6854,2023,core,4,2,3,1,4,2,3,1
2046-6854,2023,all,4,2,3,1,4,2,3,1
2046-7435,2023,core,10,4,10,4,4,2,4,2
2046-7435,2023,all,10,4,10,4,4,2,4,2
2046-8253,2023,core,8,2,8,2,8,2,7,2
2046-8253,2023,all,8,2,8,2,8,2,7,2
2046-9020,2023,core,4,3,4,3,4,3,2,1
2046-9020,2023,all,4,3,4,3,4,3,2,1
2046-9047,2023,core,1,0,1,0,1,0,1,0
2046-9047,2023,all,1,0,1,0,1,0,1,0
2046-9128,2023,core,3,2,3,2,2,2,0,0
2046-9128,2023,all,7,4,6,4,4,3,0,0
2047-0770,2023,core,7,6,7,6,7,6,7,6
2047-0770,2023,all,7,6,7,6,7,6,7,6
2047-0894,2023,core,6,5,6,5,6,5,6,5
2047-0894,2023,all,6,5,6,5,6,5,6,5
2047-1025,2023,core,16,12,16,12,11,9,11,9
2047-1025,2023,all,16,12,16,12,11,9,11,9
2047-2404,2023,core,69,43,67,43,65,41,22,13
2047-2404,2023,all,105,52,100,49,100,50,42,18
2047-2501,2023,core,13,8,12,8,13,8,9,7
2047-2501,2023,all,13,8,12,8,13,8,9,7
2047-2919,2023,core,115,73,109,70,107,71,43,27
2047-2919,2023,all,122,73,115,70,112,71,47,27
2047-3087,2023,core,22,9,21,9,21,8,15,6
2047-3087,2023,all,22,9,21,9,21,8,15,6
2047-3869,2023,core,39,26,38,26,38,26,28,19
2047-3869,2023,all,40,26,39,26,39,26,29,19
2047-4830,2023,core,46,35,34,30,45,35,8,8
2047-4830,2023,all,48,36,36,31,46,36,8,8
2047-4873,2023,core,55,37,51,36,52,36,28,19
2047-4873,2023,all,94,46,87,43,87,44,56,23
2047-6302,2023,core,42,26,38,25,40,26,26,17
2047-6302,2023,all,43,26,39,25,41,26,26,17
2047-6965,2023,core,11,8,11,8,10,8,10,8
2047-6965,2023,all,11,8,11,8,10,8,10,8
2047-7414,2023,core,11,7,10,6,11,7,10,6
2047-7414,2023,all,13,9,12,8,13,9,12,8
2047-7473,2023,core,66,36,64,35,64,36,50,29
2047-7473,2023,all,69,36,67,35,66,36,52,29
2047-7724,2023,core,12,7,11,6,11,7,4,3
2047-7724,2023,all,13,7,12,6,12,7,5,3
2047-9700,2023,core,18,3,16,2,17,3,15,2
2047-9700,2023,all,18,3,16,2,17,3,15,2
2047-9956,2023,core,10,2,10,2,9,2,7,1
2047-9956,2023,all,10,2,10,2,9,2,7,1
2048-7193,2023,core,10,5,8,3,8,5,5,2
2048-7193,2023,all,10,5,8,3,8,5,5,2
2048-8726,2023,core,31,16,29,16,31,16,11,8
2048-8726,2023,all,37,18,33,16,37,18,15,8
2049-1948,2023,core,41,34,40,33,39,32,33,27
2049-1948,2023,all,41,34,40,33,39,32,33,27
2049-372X,2023,core,10,3,7,3,10,3,7,3
2049-372X,2023,all,10,3,7,3,10,3,7,3
2049-3983,2023,core,1,1,1,1,1,1,1,1
2049-3983,2023,all,1,1,1,1,1,1,1,1
2049-4173,2023,core,8,3,7,2,8,3,4,1
2049-4173,2023,all,8,3,7,2,8,3,4,1
2049-4637,2023,core,48,35,46,33,43,32,26,18
2049-4637,2023,all,52,37,50,35,46,34,29,20
2049-5838,2023,core,17,15,17,15,17,15,15,13
2049-5838,2023,all,17,15,17,15,17,15,15,13
2049-632X,2023,core,2,1,2,1,2,1,2,1
2049-632X,2023,all,2,1,2,1,2,1,2,1
2049-6427,2023,core,1,0,0,0,1,0,0,0
2049-6427,2023,all,1,0,0,0,1,0,0,0
2049-6613,2023,core,38,33,38,33,38,33,35,30
2049-6613,2023,all,39,33,39,33,39,33,36,30
2049-677X,2023,core,4,3,4,3,2,2,2,2
2049-677X,2023,all,5,3,5,3,3,2,3,2
2049-7113,2023,core,11,8,11,8,11,8,10,7
2049-7113,2023,all,12,8,12,8,12,8,11,7
2049-8470,2023,core,29,22,24,18,27,20,17,12
2049-8470,2023,all,30,23,24,18,28,21,17,12
2049-8608,2023,core,3,0,3,0,3,0,3,0
2049-8608,2023,all,3,0,3,0,3,0,3,0
2049-8764,2023,core,9,5,8,5,8,5,2,2
2049-8764,2023,all,9,5,8,5,8,5,2,2
2049-8799,2023,core,6,3,5,2,6,3,5,2
2049-8799,2023,all,6,3,5,2,6,3,5,2
2050-0386,2023,core,28,22,28,22,28,22,26,21
2050-0386,2023,all,29,23,29,23,29,23,27,22
2050-0521,2023,core,3,2,3,2,0,0,0,0
2050-0521,2023,all,3,2,3,2,0,0,0,0
2050-0688,2023,core,14,7,13,6,13,6,12,5
2050-0688,2023,all,15,7,14,6,14,6,13,5
2050-1242,2023,core,15,13,13,13,15,13,10,10
2050-1242,2023,all,15,13,13,13,15,13,10,10
2050-1579,2023,core,19,9,18,8,18,9,13,7
2050-1579,2023,all,22,10,21,9,21,10,16,8
2050-1684,2023,core,12,5,12,5,0,0,0,0
2050-1684,2023,all,13,5,13,5,0,0,0,0
2050-2877,2023,core,8,6,8,6,8,6,7,5
2050-2877,2023,all,10,7,10,7,10,7,9,6
2050-3032,2023,core,8,4,7,3,8,4,6,3
2050-3032,2023,all,9,4,8,3,9,4,7,3
2050-3318,2023,core,14,11,14,11,13,11,7,7
2050-3318,2023,all,15,12,15,12,14,12,8,8
2050-3806,2023,core,9,5,8,4,9,5,6,2
2050-3806,2023,all,9,5,8,4,9,5,6,2
2050-4802,2023,core,3,2,3,2,3,2,3,2
2050-4802,2023,all,3,2,3,2,3,2,3,2
2050-5698,2023,core,6,2,6,2,6,2,5,1
2050-5698,2023,all,7,3,7,3,7,3,6,2
2050-571X,2023,core,14,6,14,6,13,6,12,6
2050-571X,2023,all,16,6,16,6,15,6,14,6
2050-6120,2023,core,9,8,9,8,7,7,1,1
2050-6120,2023,all,12,8,12,8,7,7,1,1
2050-6325,2023,core,14,9,14,9,13,9,12,9
2050-6325,2023,all,14,9,14,9,13,9,12,9
2050-6406,2023,core,38,37,35,34,36,35,15,14
2050-6406,2023,all,58,56,55,53,50,49,26,25
2050-7496,2023,core,242,166,191,151,231,163,52,42
2050-7496,2023,all,248,168,196,153,235,165,52,42
2050-750X,2023,core,71,48,60,41,68,47,9,6
