issn_l,earliest_year,pubtype,ta_articles,ta_oa_articles,ta_first_author_articles,ta_oa_first_author_articles,ta_corresponding_author_articles,ta_oa_corresponding_author_articles,ta_first_corresponding_author_articles,ta_oa_first_corresponding_author_articles
0002-1873,2023,all,4,4,4,4,3,3,3,3
0002-1962,2023,core,62,48,58,45,62,48,34,26
0002-1962,2023,all,63,49,59,46,63,49,35,27
0002-5232,2023,core,1,0,1,0,1,0,1,0
0002-5232,2023,all,1,0,1,0,1,0,1,0
0002-5240,2023,core,15,9,12,7,14,8,6,4
0002-5240,2023,all,15,9,12,7,14,8,6,4
0002-6980,2023,core,4,3,4,3,3,2,3,2
0002-6980,2023,all,6,5,5,4,5,4,4,3
0002-7189,2023,core,1,1,1,1,1,1,1,1
0002-7189,2023,all,1,1,1,1,1,1,1,1
0002-7294,2023,core,37,24,37,24,36,24,35,23
0002-7294,2023,all,54,34,54,34,52,34,51,33
0002-7316,2023,core,10,8,10,8,9,8,9,8
0002-7316,2023,all,10,8,10,8,9,8,9,8
0002-7642,2023,core,42,30,41,30,40,30,38,29
0002-7642,2023,all,43,31,42,31,41,31,39,30
0002-7820,2023,core,228,116,204,107,221,116,81,39
0002-7820,2023,all,235,116,211,107,228,116,86,39
0002-7863,2023,core,720,450,573,406,705,445,63,49
0002-7863,2023,all,721,450,574,406,706,445,64,49
0002-8312,2023,core,2,2,2,2,2,2,2,2
0002-8312,2023,all,2,2,2,2,2,2,2,2
0002-8487,2023,core,10,6,10,6,9,6,9,6
0002-8487,2023,all,10,6,10,6,9,6,9,6
0002-8614,2023,core,162,71,148,66,156,71,114,53
0002-8614,2023,all,239,96,217,88,232,96,166,65
0002-8703,2023,core,74,41,69,38,71,40,38,19
0002-8703,2023,all,78,41,72,38,75,40,40,19
0002-8762,2023,core,3,0,3,0,2,0,2,0
0002-8762,2023,all,3,0,3,0,2,0,2,0
0002-9092,2023,core,57,46,52,42,57,46,43,36
0002-9092,2023,all,57,46,52,42,57,46,43,36
0002-9122,2023,core,72,49,69,49,70,49,46,33
0002-9122,2023,all,78,52,75,52,76,52,52,36
0002-9149,2023,core,146,43,124,40,135,43,58,19
0002-9149,2023,all,187,44,164,41,172,44,86,19
0002-9157,2023,core,3,1,2,1,3,1,1,0
0002-9157,2023,all,5,1,4,1,5,1,3,0
0002-9165,2023,core,94,52,87,48,88,52,46,27
0002-9165,2023,all,114,53,105,49,101,53,54,28
0002-9173,2023,core,2,1,2,1,1,1,1,1
0002-9173,2023,all,4,2,3,1,3,2,2,1
0002-919X,2023,core,5,3,5,3,4,3,4,3
0002-919X,2023,all,5,3,5,3,4,3,4,3
0002-9246,2023,core,5,2,5,2,5,2,5,2
0002-9246,2023,all,5,2,5,2,5,2,5,2
0002-9262,2023,core,28,19,26,18,27,18,20,13
0002-9262,2023,all,30,21,27,19,29,20,21,14
0002-9270,2023,core,19,6,18,6,17,6,5,1
0002-9270,2023,all,27,6,25,6,25,6,11,1
0002-9297,2023,core,32,17,25,14,30,17,11,8
0002-9297,2023,all,34,18,27,15,31,17,11,8
0002-9300,2023,core,10,5,10,5,8,4,8,4
0002-9300,2023,all,11,5,11,5,9,4,9,4
0002-9319,2023,core,1,0,1,0,1,0,1,0
0002-9319,2023,all,2,1,2,1,2,1,2,1
0002-9343,2023,core,35,8,32,8,34,8,21,6
0002-9343,2023,all,50,9,44,9,49,9,32,7
0002-9378,2023,core,108,44,99,41,103,44,59,29
0002-9378,2023,all,155,45,146,42,114,44,68,29
0002-9394,2023,core,67,19,62,18,62,19,22,4
0002-9394,2023,all,80,19,74,18,70,19,28,4
0002-9432,2023,core,1,1,1,1,1,1,1,1
0002-9432,2023,all,1,1,1,1,1,1,1,1
0002-9440,2023,core,19,8,16,8,18,8,3,0
0002-9440,2023,all,19,8,16,8,18,8,3,0
0002-9505,2023,core,18,5,18,5,13,5,12,5
0002-9505,2023,all,20,6,20,6,15,6,14,6
0002-9610,2023,core,29,5,28,5,25,5,15,3
0002-9610,2023,all,48,5,44,5,40,5,22,3
0002-9629,2023,core,13,0,9,0,12,0,6,0
0002-9629,2023,all,19,0,15,0,18,0,12,0
0002-9890,2023,core,19,8,19,8,11,4,11,4
0002-9890,2023,all,22,9,22,9,13,5,13,5
0003-0007,2023,core,5,1,5,1,3,1,3,1
0003-0007,2023,all,6,2,6,2,4,2,4,2
0003-004X,2023,core,5,1,5,1,3,0,2,0
0003-004X,2023,all,5,1,5,1,3,0,2,0
0003-021X,2023,core,37,11,35,10,36,11,12,1
0003-021X,2023,all,37,11,35,10,36,11,12,1
0003-0554,2023,core,91,78,91,78,56,48,53,46
0003-0554,2023,all,94,81,94,81,58,50,55,48
0003-066X,2023,core,1,1,1,1,1,1,1,1
0003-066X,2023,all,1,1,1,1,1,1,1,1
0003-1224,2023,core,14,10,13,9,14,10,12,8
0003-1224,2023,all,14,10,13,9,14,10,12,8
0003-1232,2023,core,18,13,17,12,18,13,17,12
0003-1232,2023,all,19,14,18,13,19,14,18,13
