earlies_year,all,core,hybrid_oa,cr_oa,core_hybrid_oa,core_cr_oa,oa_prop,core_oa_prop,cr_prop,core_cr_prop
2016,1,1,1,0,1,0,1,1,0,0
2017,667,640,6,0,6,0,0.008995502248875561,0.009375,0,0
2018,1583897,1216068,84361,58729,77573,56170,0.053261670424276326,0.06379001832134387,0.03707879994721879,0.04618985122542489
2019,1747714,1352984,104865,81235,98061,77682,0.060001235900153,0.07247757549239311,0.046480717096733216,0.057415313115306614
2020,1783577,1427408,146917,130104,139606,123850,0.0823721095304548,0.09780385145662628,0.0729455470663728,0.08676566195509623
2021,1843440,1508448,185783,191234,176994,183413,0.10078060582389446,0.11733516833195443,0.10373757757236471,0.12159053543774793
2022,1721790,1386949,199392,228436,189805,219216,0.11580506333524994,0.13685074216860174,0.13267355484699064,0.15805628036791547
2023,1181781,993658,179641,202605,171683,194986,0.1520087055046578,0.17277876291440314,0.17144039377854273,0.1962304937916265
2024,3606,3569,321,377,320,376,0.08901830282861897,0.08966096945923228,0.10454797559622851,0.10535163911459793
