issn_l,earliest_year,pubtype,ta_articles,ta_oa_articles,ta_first_author_articles,ta_oa_first_author_articles,ta_corresponding_author_articles,ta_oa_corresponding_author_articles,ta_first_corresponding_author_articles,ta_oa_first_corresponding_author_articles
0002-7189,2023,all,7,3,7,3,7,3,7,3
0002-7189,2023,core,3,3,3,3,3,3,3,3
0002-7294,2023,all,65,36,65,34,66,35,64,33
0002-7294,2023,core,45,32,45,31,45,31,44,30
0002-7316,2023,all,35,8,35,8,35,8,35,8
0002-7316,2023,core,11,8,11,8,11,8,11,8
0002-7642,2023,all,27,23,27,22,24,22,23,21
0002-7642,2023,core,23,20,23,19,21,19,20,18
0002-7766,2023,all,1,1,1,1,1,1,1,1
0002-7766,2023,core,1,1,1,1,1,1,1,1
0002-7820,2023,all,159,151,148,86,167,99,72,34
0002-7820,2023,core,154,151,143,86,162,99,69,34
0002-7863,2023,all,722,848,594,417,752,479,64,48
0002-7863,2023,core,720,846,592,416,750,478,63,48
0002-8312,2023,all,2,1,2,1,2,1,1,1
0002-8312,2023,core,2,1,2,1,2,1,1,1
0002-8487,2023,all,15,10,15,9,15,10,14,9
0002-8487,2023,core,15,10,15,9,15,10,14,9
0002-8614,2023,all,640,132,631,100,267,104,193,72
0002-8614,2023,core,178,98,174,77,178,79,130,58
0002-8703,2023,all,68,59,64,38,68,39,34,18
0002-8703,2023,core,65,57,61,36,65,37,31,16
0002-8762,2023,all,42,0,42,0,42,0,42,0
0002-8762,2023,core,5,0,5,0,5,0,5,0
0002-9092,2023,all,33,33,31,26,33,27,24,20
0002-9092,2023,core,31,33,29,26,31,27,22,20
0002-9122,2023,all,74,65,73,47,79,51,48,33
0002-9122,2023,core,71,62,70,44,76,48,45,30
0002-9149,2023,all,191,63,176,40,182,41,100,18
0002-9149,2023,core,134,55,120,36,128,37,62,18
0002-9157,2023,all,3,0,3,0,3,0,3,0
0002-9157,2023,core,1,0,1,0,1,0,1,0
0002-9165,2023,all,103,70,100,46,102,50,58,26
0002-9165,2023,core,85,69,82,45,84,49,45,25
0002-9173,2023,all,8,2,8,2,7,2,6,2
0002-9173,2023,core,6,2,6,2,6,2,5,2
0002-919X,2023,all,9,4,9,4,9,4,9,4
0002-919X,2023,core,6,4,6,4,6,4,6,4
0002-9246,2023,all,10,5,10,4,8,4,6,3
0002-9246,2023,core,9,5,9,4,7,4,5,3
0002-9262,2023,all,38,35,38,29,39,30,30,24
0002-9262,2023,core,33,32,33,27,34,28,26,23
0002-9270,2023,all,51,9,49,5,30,5,15,1
0002-9270,2023,core,19,9,17,5,19,5,6,1
0002-9297,2023,all,34,31,30,18,41,24,15,11
0002-9297,2023,core,31,29,27,16,39,23,14,10
0002-9300,2023,all,15,5,15,5,15,5,15,5
0002-9300,2023,core,9,5,9,5,9,5,9,5
0002-9343,2023,all,33,7,31,6,33,6,22,5
0002-9343,2023,core,17,6,16,5,17,5,8,4
0002-9378,2023,all,207,24,205,19,101,19,65,14
0002-9378,2023,core,68,21,67,17,65,17,40,13
0002-9394,2023,all,66,31,63,17,62,17,22,3
0002-9394,2023,core,56,31,54,17,52,17,15,3
0002-9432,2023,all,1,1,1,1,1,1,1,1
0002-9432,2023,core,1,1,1,1,1,1,1,1
0002-9440,2023,all,24,16,23,8,26,9,5,1
0002-9440,2023,core,23,16,22,8,25,9,4,1
0002-9505,2023,all,19,5,18,5,19,5,16,5
0002-9505,2023,core,17,4,16,4,17,4,14,4
0002-9610,2023,all,41,6,36,4,40,4,17,2
0002-9610,2023,core,26,6,24,4,25,4,11,2
0002-9629,2023,all,20,0,17,0,16,0,9,0
0002-9629,2023,core,13,0,10,0,12,0,5,0
0002-9890,2023,all,28,8,28,8,28,8,28,8
0002-9890,2023,core,16,8,16,8,16,8,16,8
0003-0007,2023,all,5,2,5,2,4,2,2,2
0003-0007,2023,core,4,1,4,1,3,1,1,1
0003-004X,2023,all,4,1,4,1,3,1,2,1
0003-004X,2023,core,4,1,4,1,3,1,2,1
0003-021X,2023,all,29,21,28,11,29,11,10,1
0003-021X,2023,core,28,19,27,10,28,10,10,1
0003-0554,2023,all,67,64,66,60,68,61,63,57
0003-0554,2023,core,66,64,65,60,67,61,62,57
0003-0651,2023,all,5,0,5,0,5,0,5,0
0003-0651,2023,core,4,0,4,0,4,0,4,0
0003-066X,2023,all,3,1,3,1,3,1,3,1
0003-066X,2023,core,3,1,3,1,3,1,3,1
